epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
274,0.36265,0.32073,0.19754,0.16443,4.25,20,31,56,73,92,108,125,142,164,183
275,0.36265,0.32073,0.19759,0.16443,4.27,20,31,56,73,92,108,125,142,164,183
276,0.36265,0.32073,0.19762,0.16443,4.28,20,31,56,73,92,108,125,142,164,183
277,0.36265,0.32073,0.19765,0.16443,4.3,20,31,56,73,92,108,125,142,164,183
278,0.36265,0.32073,0.19768,0.16443,4.31,20,31,56,73,92,108,125,142,164,183
279,0.36265,0.32073,0.19771,0.16443,4.33,20,31,56,73,92,108,125,142,164,183
280,0.36265,0.32073,0.19771,0.16443,4.34,20,31,56,73,92,108,125,142,164,183
281,0.36265,0.32073,0.19773,0.16457,4.36,20,31,56,73,92,108,125,142,164,183
282,0.36252,0.32073,0.19762,0.16471,4.37,20,31,56,73,92,108,125,142,164,183
283,0.36252,0.32073,0.19762,0.16471,4.39,20,31,56,73,92,108,125,142,164,183
284,0.36252,0.32073,0.19763,0.16471,4.41,20,31,56,73,92,108,125,142,164,183
285,0.36252,0.32073,0.19765,0.16471,4.42,20,31,56,73,92,108,125,142,164,183
286,0.36252,0.32073,0.19765,0.16471,4.44,20,31,56,73,92,108,125,142,164,183
287,0.36252,0.32073,0.19771,0.16471,4.45,20,31,56,73,92,108,125,142,164,183
288,0.36252,0.32073,0.19773,0.16471,4.47,20,31,56,73,92,108,125,142,164,183
289,0.36252,0.32073,0.19776,0.16471,4.48,20,31,56,73,92,108,125,142,164,183
290,0.36252,0.32073,0.19776,0.16471,4.5,20,31,56,73,92,108,126,142,164,183
291,0.36252,0.32073,0.19776,0.16471,4.51,20,31,56,73,92,108,126,142,164,183
292,0.36252,0.32073,0.19779,0.16471,4.53,20,31,56,73,92,108,126,142,164,183
293,0.36252,0.32073,0.1978,0.16471,4.54,20,31,56,73,92,108,126,142,164,183
294,0.36252,0.32073,0.19782,0.16471,4.56,20,31,56,73,92,108,126,142,164,183
